headline,source_name,datetime,leaning
The Election Is Happening Too Soon,nytimes.com,2024-10-24,Left
Opinion,nytimes.com,2024-10-13,Left
"‘Joy’ Is Working for Harris, but Can It Close the Deal",nytimes.com,2024-10-09,Left
"What the initial CFP rankings mean, plus a history lesson",nytimes.com,2024-11-05,Left
Election Day Is Long. Give Us Five Minutes to Help You Get Through It,nytimes.com,2024-11-05,Left
12 Treats to Bake While You Wait for Election Results,nytimes.com,2024-11-04,Left
Kamala Harris and Donald Trump: 15 Swing State Voters Discuss,nytimes.com,2024-11-05,Left
"Predicting the fallout from Joel Embiid’s alleged error. Plus, your NBA Stock Report!",nytimes.com,2024-11-04,Left
"Trump, Kushner and the 2026 World Cup bid. Plus: Who’s feeling pressure in PL title race?",nytimes.com,2024-11-04,Left
"NFL teams going streaking, plus MLB offseason primer",nytimes.com,2024-11-04,Left
"Donald Trump, Jared Kushner and the race to host the 2026 World Cup",nytimes.com,2024-11-04,Left
"NBA Rewind: The Joel Embiid controversy, Drake vs. DeMar DeRozan and beefy weekend",nytimes.com,2024-11-04,Left
"How Red and Blue America Shop, Eat and Live",nytimes.com,2024-11-04,Left
Jon Stewart Looks Back With Sanity and/or Fear,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in Arizona,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Inquirer/Siena Poll of Registered Voters in Pennsylvania,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in Nevada,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in Michigan,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in Wisconsin,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in the 2024 Battlegrounds,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in Georgia,nytimes.com,2024-11-03,Left
Toplines: October 2024 Times/Siena Poll of Registered Voters in North Carolina,nytimes.com,2024-11-03,Left
